Date,Banks,Integration
1993Q2,1ST SOURCE CORP,0.8580058560387408
1993Q3,1ST SOURCE CORP,NA
1993Q4,1ST SOURCE CORP,NA
1994Q1,1ST SOURCE CORP,NA
1994Q2,1ST SOURCE CORP,NA
1994Q3,1ST SOURCE CORP,NA
1994Q4,1ST SOURCE CORP,NA
1995Q1,1ST SOURCE CORP,NA
1995Q2,1ST SOURCE CORP,NA
1995Q3,1ST SOURCE CORP,0.8396195551479693
1995Q4,1ST SOURCE CORP,NA
1996Q1,1ST SOURCE CORP,NA
1996Q2,1ST SOURCE CORP,NA
1996Q3,1ST SOURCE CORP,0.8882248048127153
1996Q4,1ST SOURCE CORP,NA
1997Q1,1ST SOURCE CORP,0.9244485070083286
1997Q2,1ST SOURCE CORP,0.7133007689836137
1997Q3,1ST SOURCE CORP,0.5427099300196233
1997Q4,1ST SOURCE CORP,0.6298427531285105
1998Q1,1ST SOURCE CORP,0.8872132780585016
1998Q2,1ST SOURCE CORP,0.5112466814479404
1998Q3,1ST SOURCE CORP,0.8322068031250139
1998Q4,1ST SOURCE CORP,0.8993149448662394
1999Q1,1ST SOURCE CORP,0.7389168523067535
1999Q2,1ST SOURCE CORP,0.5161076404835689
1999Q3,1ST SOURCE CORP,0.6957766396487416
1999Q4,1ST SOURCE CORP,0.8129808091410162
2000Q1,1ST SOURCE CORP,0.5145159793312883
2000Q2,1ST SOURCE CORP,0.7083313860633429
2000Q3,1ST SOURCE CORP,0.7867360445076571
2000Q4,1ST SOURCE CORP,0.901985075493022
2001Q1,1ST SOURCE CORP,0.7519001646354893
2001Q2,1ST SOURCE CORP,0.8962291998251938
2001Q3,1ST SOURCE CORP,0.9473839838252218
2001Q4,1ST SOURCE CORP,0.8603220113454969
2002Q1,1ST SOURCE CORP,0.6627718873660817
2002Q2,1ST SOURCE CORP,0.8424662248258806
2002Q3,1ST SOURCE CORP,0.87855179139742
2002Q4,1ST SOURCE CORP,0.942420882782523
2003Q1,1ST SOURCE CORP,0.8694628445899546
2003Q2,1ST SOURCE CORP,0.9036428081305848
2003Q3,1ST SOURCE CORP,0.8875273861278418
2003Q4,1ST SOURCE CORP,0.8857163937656901
2004Q1,1ST SOURCE CORP,0.8470254692060204
2004Q2,1ST SOURCE CORP,0.8357220518169484
2004Q3,1ST SOURCE CORP,0.762806775441953
2004Q4,1ST SOURCE CORP,0.8184692512559948
2005Q1,1ST SOURCE CORP,0.8145855715241461
2005Q2,1ST SOURCE CORP,0.8141417435084928
2005Q3,1ST SOURCE CORP,0.9173929228700217
2005Q4,1ST SOURCE CORP,0.9308745323731054
2006Q1,1ST SOURCE CORP,0.854831247599573
2006Q2,1ST SOURCE CORP,0.895526092148093
2006Q3,1ST SOURCE CORP,0.8765784239060905
2006Q4,1ST SOURCE CORP,0.8450080459631417
2007Q1,1ST SOURCE CORP,0.8863596561806406
2007Q2,1ST SOURCE CORP,0.9294867641244218
2007Q3,1ST SOURCE CORP,0.9224685571165027
2007Q4,1ST SOURCE CORP,0.8453959974702617
2008Q1,1ST SOURCE CORP,0.9245403083080606
2008Q2,1ST SOURCE CORP,0.8615932571974445
2008Q3,1ST SOURCE CORP,0.8230295954310903
2008Q4,1ST SOURCE CORP,0.8547420570881461
2009Q1,1ST SOURCE CORP,0.9068887800457361
2009Q2,1ST SOURCE CORP,0.899374468584386
2009Q3,1ST SOURCE CORP,0.7612531635651487
2009Q4,1ST SOURCE CORP,0.7202254943510036
2010Q1,1ST SOURCE CORP,0.5671860223186705
2010Q2,1ST SOURCE CORP,0.8482824708602837
2010Q3,1ST SOURCE CORP,0.8641074151318469
2010Q4,1ST SOURCE CORP,0.7872596699211105
2011Q1,1ST SOURCE CORP,0.8850852241590763
2011Q2,1ST SOURCE CORP,0.6690692507045128
2011Q3,1ST SOURCE CORP,0.8340982333375699
2011Q4,1ST SOURCE CORP,0.9375575315554937
2012Q1,1ST SOURCE CORP,0.7318993854868825
2012Q2,1ST SOURCE CORP,0.7886925656794852
2012Q3,1ST SOURCE CORP,0.7227481369814626
2012Q4,1ST SOURCE CORP,0.7189131647329724
2013Q1,1ST SOURCE CORP,0.5733139511037788
2013Q2,1ST SOURCE CORP,0.7451573767552218
2013Q3,1ST SOURCE CORP,0.6837739843114626
2013Q4,1ST SOURCE CORP,0.6775692835084418
2014Q1,1ST SOURCE CORP,0.6349987925886911
2014Q2,1ST SOURCE CORP,0.7683350044474169
2014Q3,1ST SOURCE CORP,0.8487954101301426
2014Q4,1ST SOURCE CORP,0.908117282821733
2015Q1,1ST SOURCE CORP,0.8895071558930467
2015Q2,1ST SOURCE CORP,0.8495284079291157
2015Q3,1ST SOURCE CORP,0.855445741460682
2015Q4,1ST SOURCE CORP,0.8594088492253116
2016Q1,1ST SOURCE CORP,0.7444204225430742
2016Q2,1ST SOURCE CORP,0.7980046831156227
2016Q3,1ST SOURCE CORP,0.7961649074009962
2016Q4,1ST SOURCE CORP,0.7961649074009962
1993Q2,ARROW FINANCIAL CORP,0.9927881400801101
1993Q3,ARROW FINANCIAL CORP,NA
1993Q4,ARROW FINANCIAL CORP,NA
1994Q1,ARROW FINANCIAL CORP,NA
1994Q2,ARROW FINANCIAL CORP,0.9882072737224802
1994Q3,ARROW FINANCIAL CORP,NA
1994Q4,ARROW FINANCIAL CORP,NA
1995Q1,ARROW FINANCIAL CORP,0.9390127541000155
1995Q2,ARROW FINANCIAL CORP,0.9193574409104327
1995Q3,ARROW FINANCIAL CORP,0.9236275250011834
1995Q4,ARROW FINANCIAL CORP,0.9402559677373459
1996Q1,ARROW FINANCIAL CORP,0.8353264335710545
1996Q2,ARROW FINANCIAL CORP,0.599579583321372
1996Q3,ARROW FINANCIAL CORP,0.8814225302284964
1996Q4,ARROW FINANCIAL CORP,NA
1997Q1,ARROW FINANCIAL CORP,0.5154857354365242
1997Q2,ARROW FINANCIAL CORP,0.37516665544092764
1997Q3,ARROW FINANCIAL CORP,0.5321420708192253
1997Q4,ARROW FINANCIAL CORP,0.8857342395195094
1998Q1,ARROW FINANCIAL CORP,0.7082375322614209
1998Q2,ARROW FINANCIAL CORP,0.8796903051961655
1998Q3,ARROW FINANCIAL CORP,0.8124543969092183
1998Q4,ARROW FINANCIAL CORP,0.555434040129777
1999Q1,ARROW FINANCIAL CORP,0.5487460441000298
1999Q2,ARROW FINANCIAL CORP,NA
1999Q3,ARROW FINANCIAL CORP,NA
1999Q4,ARROW FINANCIAL CORP,NA
2000Q1,ARROW FINANCIAL CORP,0.4052277288519699
2000Q2,ARROW FINANCIAL CORP,-0.09371394585816395
2000Q3,ARROW FINANCIAL CORP,0.6241380370764935
2000Q4,ARROW FINANCIAL CORP,0.4310460457052152
2001Q1,ARROW FINANCIAL CORP,0.7622906553865398
2001Q2,ARROW FINANCIAL CORP,0.649847261204627
2001Q3,ARROW FINANCIAL CORP,0.6572783228592731
2001Q4,ARROW FINANCIAL CORP,0.4864070836092448
2002Q1,ARROW FINANCIAL CORP,0.5279946101891644
2002Q2,ARROW FINANCIAL CORP,0.8558502057248448
2002Q3,ARROW FINANCIAL CORP,0.8777863600547642
2002Q4,ARROW FINANCIAL CORP,0.8143174743934014
2003Q1,ARROW FINANCIAL CORP,0.6191119684620823
2003Q2,ARROW FINANCIAL CORP,0.48297565805309406
2003Q3,ARROW FINANCIAL CORP,0.6118061506657546
2003Q4,ARROW FINANCIAL CORP,0.8041109174170021
2004Q1,ARROW FINANCIAL CORP,0.6105235004021149
2004Q2,ARROW FINANCIAL CORP,0.6883535433180286
2004Q3,ARROW FINANCIAL CORP,0.7745084259696671
2004Q4,ARROW FINANCIAL CORP,0.7076507460743358
2005Q1,ARROW FINANCIAL CORP,0.8092703112498988
2005Q2,ARROW FINANCIAL CORP,0.848777485049117
2005Q3,ARROW FINANCIAL CORP,0.6946287152282198
2005Q4,ARROW FINANCIAL CORP,0.7723891687054614
2006Q1,ARROW FINANCIAL CORP,0.8238085705644759
2006Q2,ARROW FINANCIAL CORP,0.9004448256409723
2006Q3,ARROW FINANCIAL CORP,0.8010936367481303
2006Q4,ARROW FINANCIAL CORP,0.7425362852878028
2007Q1,ARROW FINANCIAL CORP,0.8043895899031186
2007Q2,ARROW FINANCIAL CORP,0.6850314344895112
2007Q3,ARROW FINANCIAL CORP,0.3695751382544521
2007Q4,ARROW FINANCIAL CORP,0.7351449449984038
2008Q1,ARROW FINANCIAL CORP,0.7557494487683973
2008Q2,ARROW FINANCIAL CORP,0.6512777775351583
2008Q3,ARROW FINANCIAL CORP,0.888896111428039
2008Q4,ARROW FINANCIAL CORP,0.7634057038684974
2009Q1,ARROW FINANCIAL CORP,0.7984713896212946
2009Q2,ARROW FINANCIAL CORP,0.7716219002077825
2009Q3,ARROW FINANCIAL CORP,0.5735949588034923
2009Q4,ARROW FINANCIAL CORP,0.6750105574037825
2010Q1,ARROW FINANCIAL CORP,0.7200238307850098
2010Q2,ARROW FINANCIAL CORP,0.8052675717106997
2010Q3,ARROW FINANCIAL CORP,0.9029377422843005
2010Q4,ARROW FINANCIAL CORP,0.7135400554293876
2011Q1,ARROW FINANCIAL CORP,0.7773448244015962
2011Q2,ARROW FINANCIAL CORP,0.6973249807821775
2011Q3,ARROW FINANCIAL CORP,0.8640282461177551
