Date,Banks,Integration
1993Q2,1ST SOURCE CORP,0.45084006806422594
1993Q3,1ST SOURCE CORP,NA
1993Q4,1ST SOURCE CORP,NA
1994Q1,1ST SOURCE CORP,NA
1994Q2,1ST SOURCE CORP,NA
1994Q3,1ST SOURCE CORP,NA
1994Q4,1ST SOURCE CORP,NA
1995Q1,1ST SOURCE CORP,NA
1995Q2,1ST SOURCE CORP,NA
1995Q3,1ST SOURCE CORP,0.6470324962277398
1995Q4,1ST SOURCE CORP,NA
1996Q1,1ST SOURCE CORP,NA
1996Q2,1ST SOURCE CORP,NA
1996Q3,1ST SOURCE CORP,0.5659363518129852
1996Q4,1ST SOURCE CORP,NA
1997Q1,1ST SOURCE CORP,0.6110423447861287
1997Q2,1ST SOURCE CORP,0.656607293752191
1997Q3,1ST SOURCE CORP,0.5283622647880997
1997Q4,1ST SOURCE CORP,0.548593693517196
1998Q1,1ST SOURCE CORP,0.3255536469264222
1998Q2,1ST SOURCE CORP,0.5566325329612647
1998Q3,1ST SOURCE CORP,0.45916612977309035
1998Q4,1ST SOURCE CORP,0.7796737249966013
1999Q1,1ST SOURCE CORP,0.7215891470703597
1999Q2,1ST SOURCE CORP,0.18166196066195317
1999Q3,1ST SOURCE CORP,0.3858229932959958
1999Q4,1ST SOURCE CORP,0.12120993337016572
2000Q1,1ST SOURCE CORP,0.27752969062006794
2000Q2,1ST SOURCE CORP,0.5682452685269104
2000Q3,1ST SOURCE CORP,0.31810613945349764
2000Q4,1ST SOURCE CORP,0.7108057249971246
2001Q1,1ST SOURCE CORP,0.6279865704220204
2001Q2,1ST SOURCE CORP,0.6040615627075037
2001Q3,1ST SOURCE CORP,0.8518252203955405
2001Q4,1ST SOURCE CORP,0.8456867245693868
2002Q1,1ST SOURCE CORP,0.6307293802451793
2002Q2,1ST SOURCE CORP,0.7693612205742887
2002Q3,1ST SOURCE CORP,0.6440024725571756
2002Q4,1ST SOURCE CORP,0.8585009621521272
2003Q1,1ST SOURCE CORP,0.9030305642800152
2003Q2,1ST SOURCE CORP,0.5957429317673641
2003Q3,1ST SOURCE CORP,0.49971991386722114
2003Q4,1ST SOURCE CORP,0.6863353594954742
2004Q1,1ST SOURCE CORP,0.8212274497138266
2004Q2,1ST SOURCE CORP,0.579590332662924
2004Q3,1ST SOURCE CORP,0.5547530940806494
2004Q4,1ST SOURCE CORP,0.6143738430873887
2005Q1,1ST SOURCE CORP,0.7471997191514084
2005Q2,1ST SOURCE CORP,0.7546928018755149
2005Q3,1ST SOURCE CORP,0.8402156873657416
2005Q4,1ST SOURCE CORP,0.8333896340775131
2006Q1,1ST SOURCE CORP,0.7442866005508806
2006Q2,1ST SOURCE CORP,0.9068300983188393
2006Q3,1ST SOURCE CORP,0.8664771783128338
2006Q4,1ST SOURCE CORP,0.7869054801480795
2007Q1,1ST SOURCE CORP,0.6901176597762866
2007Q2,1ST SOURCE CORP,0.756531881552647
2007Q3,1ST SOURCE CORP,0.8247973370151829
2007Q4,1ST SOURCE CORP,0.7385015252782554
2008Q1,1ST SOURCE CORP,0.9166147792446409
2008Q2,1ST SOURCE CORP,0.870200947240351
2008Q3,1ST SOURCE CORP,0.7695288937558941
2008Q4,1ST SOURCE CORP,0.6749693343737524
2009Q1,1ST SOURCE CORP,0.8602327408970073
2009Q2,1ST SOURCE CORP,0.8650273253419227
2009Q3,1ST SOURCE CORP,0.6457675071437019
2009Q4,1ST SOURCE CORP,0.6910984476601618
2010Q1,1ST SOURCE CORP,0.6544453113372438
2010Q2,1ST SOURCE CORP,0.7913372797913842
2010Q3,1ST SOURCE CORP,0.8830544535747701
2010Q4,1ST SOURCE CORP,0.7080712281363581
2011Q1,1ST SOURCE CORP,0.83302105902226
2011Q2,1ST SOURCE CORP,0.7622516409316124
2011Q3,1ST SOURCE CORP,0.809329357710536
2011Q4,1ST SOURCE CORP,0.9097379062228662
2012Q1,1ST SOURCE CORP,0.5610213864385132
2012Q2,1ST SOURCE CORP,0.6974932771885887
2012Q3,1ST SOURCE CORP,0.7624107738499288
2012Q4,1ST SOURCE CORP,0.5743019294978303
2013Q1,1ST SOURCE CORP,0.5634683009294656
2013Q2,1ST SOURCE CORP,0.6218567622233437
2013Q3,1ST SOURCE CORP,0.4955870245136803
2013Q4,1ST SOURCE CORP,0.6019725272568741
2014Q1,1ST SOURCE CORP,0.7397561604106533
2014Q2,1ST SOURCE CORP,0.7386975356845177
2014Q3,1ST SOURCE CORP,0.722333366969055
2014Q4,1ST SOURCE CORP,0.6604967676701293
2015Q1,1ST SOURCE CORP,0.8731426833794595
2015Q2,1ST SOURCE CORP,0.7667073966987455
2015Q3,1ST SOURCE CORP,0.8356763192692818
2015Q4,1ST SOURCE CORP,0.6794856422058746
2016Q1,1ST SOURCE CORP,0.7114627387152934
2016Q2,1ST SOURCE CORP,0.749665071092315
2016Q3,1ST SOURCE CORP,0.5439061182069023
2016Q4,1ST SOURCE CORP,0.7176530797548349
1993Q2,ARROW FINANCIAL CORP,0.9855027188121219
1993Q3,ARROW FINANCIAL CORP,NA
1993Q4,ARROW FINANCIAL CORP,NA
1994Q1,ARROW FINANCIAL CORP,NA
1994Q2,ARROW FINANCIAL CORP,0.9381974869388009
1994Q3,ARROW FINANCIAL CORP,NA
1994Q4,ARROW FINANCIAL CORP,NA
1995Q1,ARROW FINANCIAL CORP,0.9066873808390126
1995Q2,ARROW FINANCIAL CORP,0.906716742106017
1995Q3,ARROW FINANCIAL CORP,0.6832741167194517
1995Q4,ARROW FINANCIAL CORP,0.7749899885956167
1996Q1,ARROW FINANCIAL CORP,0.9174651235618766
1996Q2,ARROW FINANCIAL CORP,0.6441715205891113
1996Q3,ARROW FINANCIAL CORP,0.5220870243718981
1996Q4,ARROW FINANCIAL CORP,NA
1997Q1,ARROW FINANCIAL CORP,0.38682720968437256
1997Q2,ARROW FINANCIAL CORP,-0.01639704846512302
1997Q3,ARROW FINANCIAL CORP,0.4217655426966185
1997Q4,ARROW FINANCIAL CORP,0.2755230206100089
1998Q1,ARROW FINANCIAL CORP,0.7296820028738327
1998Q2,ARROW FINANCIAL CORP,0.43538198426375563
1998Q3,ARROW FINANCIAL CORP,0.4122561787654456
1998Q4,ARROW FINANCIAL CORP,0.5310184458199984
1999Q1,ARROW FINANCIAL CORP,0.2432045730512975
1999Q2,ARROW FINANCIAL CORP,NA
1999Q3,ARROW FINANCIAL CORP,NA
1999Q4,ARROW FINANCIAL CORP,NA
2000Q1,ARROW FINANCIAL CORP,0.34602414376181967
2000Q2,ARROW FINANCIAL CORP,0.09496674618444989
2000Q3,ARROW FINANCIAL CORP,0.16161765168932607
2000Q4,ARROW FINANCIAL CORP,0.678974055503226
2001Q1,ARROW FINANCIAL CORP,0.10448962977428455
2001Q2,ARROW FINANCIAL CORP,0.6368438249175535
2001Q3,ARROW FINANCIAL CORP,0.51903241165262
2001Q4,ARROW FINANCIAL CORP,0.12496197186152125
2002Q1,ARROW FINANCIAL CORP,0.35679695479796736
2002Q2,ARROW FINANCIAL CORP,0.6887910775891313
2002Q3,ARROW FINANCIAL CORP,0.36420375758874424
2002Q4,ARROW FINANCIAL CORP,0.5573202812859049
2003Q1,ARROW FINANCIAL CORP,0.4242150450724437
2003Q2,ARROW FINANCIAL CORP,0.6843602281429872
2003Q3,ARROW FINANCIAL CORP,0.26778546626605637
2003Q4,ARROW FINANCIAL CORP,0.786792767720724
2004Q1,ARROW FINANCIAL CORP,0.5527659199403481
2004Q2,ARROW FINANCIAL CORP,0.8293309949107912
2004Q3,ARROW FINANCIAL CORP,0.5028486132310863
2004Q4,ARROW FINANCIAL CORP,0.41965549387430046
2005Q1,ARROW FINANCIAL CORP,0.7302649146680962
2005Q2,ARROW FINANCIAL CORP,0.5426513976216305
2005Q3,ARROW FINANCIAL CORP,0.7575415534833798
2005Q4,ARROW FINANCIAL CORP,0.6043487440387649
2006Q1,ARROW FINANCIAL CORP,0.6625210157536829
2006Q2,ARROW FINANCIAL CORP,0.8522402566966341
2006Q3,ARROW FINANCIAL CORP,0.751322406062465
2006Q4,ARROW FINANCIAL CORP,0.7705797685437608
2007Q1,ARROW FINANCIAL CORP,0.872636295429629
2007Q2,ARROW FINANCIAL CORP,0.4599109100427121
2007Q3,ARROW FINANCIAL CORP,0.5161119377406211
2007Q4,ARROW FINANCIAL CORP,0.4834716064568534
2008Q1,ARROW FINANCIAL CORP,0.5413399985439945
2008Q2,ARROW FINANCIAL CORP,0.5964895536828201
2008Q3,ARROW FINANCIAL CORP,0.7570132587436418
2008Q4,ARROW FINANCIAL CORP,0.6839743937310128
2009Q1,ARROW FINANCIAL CORP,0.777186553541512
2009Q2,ARROW FINANCIAL CORP,0.6452693865002992
2009Q3,ARROW FINANCIAL CORP,0.6487715446063165
2009Q4,ARROW FINANCIAL CORP,0.6004053133598191
2010Q1,ARROW FINANCIAL CORP,0.45950955525290493
2010Q2,ARROW FINANCIAL CORP,0.6719430720433073
2010Q3,ARROW FINANCIAL CORP,0.8078621364991696
2010Q4,ARROW FINANCIAL CORP,0.7565005837740637
2011Q1,ARROW FINANCIAL CORP,0.6974300707917909
2011Q2,ARROW FINANCIAL CORP,0.7794333622547133
2011Q3,ARROW FINANCIAL CORP,0.8217429579173681
2011Q4,ARROW FINANCIAL CORP,0.8678340879330697
2012Q1,ARROW FINANCIAL CORP,0.5270880603356606
2012Q2,ARROW FINANCIAL CORP,0.668930476679203
2012Q3,ARROW FINANCIAL CORP,0.6728241574713381
2012Q4,ARROW FINANCIAL CORP,0.7227171002699302
2013Q1,ARROW FINANCIAL CORP,0.4091742430941062
2013Q2,ARROW FINANCIAL CORP,0.7314264442889381
2013Q3,ARROW FINANCIAL CORP,0.4765735911991229
2013Q4,ARROW FINANCIAL CORP,0.38848355246465494
2014Q1,ARROW FINANCIAL CORP,0.39158575187879774
