comnam,ncusip,cusip_8
1ST CONSTITUTION BANCORP,31986N10,31986N10
1ST SOURCE CORP,33690110,33690110
A B C BANCORP,00040010,03076K10
ACCESS NATIONAL CORP,00433710,00433710
A C N B CORP,00086810,00086810
AMERICAN NATIONAL BANKSHARES INC,02774510,02774510
AMERIS BANCORP,03076K10,03076K10
AMERISERV FINANCIAL INC,03074A10,03074A10
AMES NATL CORP,03100110,03100110
ARROW FINANCIAL CORP,04274410,04274410
ASSOCIATED BANC CORP,04548710,04548710
ASTORIA FINANCIAL CORP,04626510,04626510
AVONDALE FINANCIAL CORP,05434110,55264U10
BANCFIRST CORP,05945F10,05945F10
BANC OF CALIFORNIA INC,05990K10,05990K10
BANCORP HAWAII INC,05968510,06254010
BANCORP INC,05969A10,05969A10
BANCORPSOUTH BANK,05971J10,05971J10
BANCORPSOUTH INC,05969210,05971J10
BANKAMERICA CORP NEW,06605F10,06050510
BANKFINACIAL CORP,06643P10,06643P10
BANK MUTUAL CORP,06374810,06375010
BANK MUTUAL CORP NEW,06375010,06375010
BANK NEW YORK INC,06405710,06405810
BANK OF AMERICA CORP,06050510,06050510
BANK OF COMMERCE HOLDINGS,06424J10,06424J10
BANK OF HAWAII CORP,06254010,06254010
BANK OF MARIN,06343110,06342510
BANK OF MARIN BANCORP,06342510,06342510
BANK OF NEW YORK MELLON CORP,06405810,06405810
BANK OF THE OZARKS INC,06390410,06390410
BANK SIERRA PORTERVILLE CA,06486010,82620P10
BANKUNITED INC,06652K10,06652K10
BANKWELL FINANCIAL GROUP INC,06654A10,06654A10
BAR HARBOR BANKSHARES,06684910,06684910
BBCN BANCORP INC,07329510,43940T10
B B & T CORP,05493710,05493710
B B X CAPITAL CORP NEW,05491N10,05491N10
B C B BANCORP INC,05529810,05529810
BEAR STATE FINANCIAL INC,07384410,07384410
BENEFICIAL BANCORP INC,08171T10,08171T10
BENEFICIAL MUTUAL BANCORP INC,08173R10,08171T10
BERKSHIRE HILLS BANCORP INC,08468010,08468010
B N C BANCORP,05566T10,05566T10
B OF I HOLDING INC,05566U10,05566U10
BOSTON PRIVATE BANCORP INC,10111910,10111910
BOSTON PRIVATE FINL HLDGS INC,10111910,10111910
BRIDGE BANCORP INC,10803510,10803510
BROOKLINE BANCORP INC,11373910,11373M10
BROOKLINE BANCORP INC,11373M10,11373M10
BRYN MAWR BANK CORP,11766510,11766510
CADENCE BANCORP,12739A10,12739A10
CAMDEN NATIONAL CORP,13303410,13303410
CAPITAL CITY BANK GROUP,13967410,13967410
CAPITOL FEDERAL FINANCIAL,14057C10,14057J10
CAPITOL FEDERAL FINANCIAL INC,14057J10,14057J10
CARDINAL FINANCIAL CORP,14149F10,14149F10
CAROLINA FINANCIAL CORP,14387310,14387310
CATHAY BANCORP INC,14915010,14915010
CATHAY GENERAL BANCORP,14915010,14915010
CENTER BANCORP INC,15140810,20786W10
CENTERSTATE BANK CORP,15201P10,15201P10
CENTERSTATE BANKS INC,15201P10,15201P10
CENTERSTATE BANKS OF FLORIDA INC,15201P10,15201P10
CENTRAL VALLEY COMM BANCORP,15568510,15568510
CENTURY BANCORP INC,15643210,15643210
C & F FINANCIAL CORP,12466Q10,12466Q10
CHARTER FINANCIAL CORP,16122M10,16122W10
CHARTER FINANCIAL CORP NEW,16122W10,16122W10
CHASE MANHATTAN CORP NEW,16161A10,46625H10
CHEMICAL BANKING CORP,16372210,46625H10
CHEMICAL FINANCIAL CORP,16373110,16373110
CITIZENS FINANCIAL GROUP INC,17461010,17461010
CITIZENS HOLDING CO,17471510,17471510
CITIZENS & NORTHERN CORP,17292210,17292210
CITY HOLDING CO,17783510,17783510
CIVISTA BANCSHARES INC,17886710,17886710
C N B FINANCIAL CORP PA,12612810,12612810
COBIZ FINANCIAL INC,19089710,19089710
COBIZ INC,19089710,19089710
CODORUS VALLEY BANCORP INC,19202510,19202510
