comnam,ncusip,cusip_8,siccd
1ST CONSTITUTION BANCORP,31986N10,31986N10,6021
1ST CONSTITUTION BANCORP,31986N10,31986N10,6022
1ST SOURCE CORP,33690110,33690110,6711
1ST SOURCE CORP,33690110,33690110,6020
A B C BANCORP,00040010,03076K10,6710
A B C BANCORP,00040010,03076K10,6020
ACCESS NATIONAL CORP,00433710,00433710,6712
A C N B CORP,00086810,00086810,6022
AMERICAN NATIONAL BANKSHARES INC,02774510,02774510,6090
AMERICAN NATIONAL BANKSHARES INC,02774510,02774510,6020
AMERIS BANCORP,03076K10,03076K10,6020
AMERISERV FINANCIAL INC,03074A10,03074A10,6021
AMES NATL CORP,03100110,03100110,6021
ARROW FINANCIAL CORP,04274410,04274410,6710
ARROW FINANCIAL CORP,04274410,04274410,6020
ASSOCIATED BANC CORP,04548710,04548710,6711
ASSOCIATED BANC CORP,04548710,04548710,6712
ASTORIA FINANCIAL CORP,04626510,04626510,6710
ASTORIA FINANCIAL CORP,04626510,04626510,6030
ASTORIA FINANCIAL CORP,04626510,04626510,6035
ASTORIA FINANCIAL CORP,04626510,04626510,6712
AVONDALE FINANCIAL CORP,05434110,55264U10,6030
AVONDALE FINANCIAL CORP,05434110,55264U10,6710
BANCFIRST CORP,05945F10,05945F10,6020
BANC OF CALIFORNIA INC,05990K10,05990K10,6035
BANC OF CALIFORNIA INC,05990K10,05990K10,6021
BANC OF CALIFORNIA INC,05990K10,05990K10,6712
BANCORP HAWAII INC,05968510,06254010,6712
BANCORP INC,05969A10,05969A10,6022
BANCORPSOUTH BANK,05971J10,05971J10,6022
BANCORPSOUTH INC,05969210,05971J10,6710
BANCORPSOUTH INC,05969210,05971J10,6022
BANKAMERICA CORP NEW,06605F10,06050510,6021
BANKFINACIAL CORP,06643P10,06643P10,6035
BANK MUTUAL CORP,06374810,06375010,6035
BANK MUTUAL CORP NEW,06375010,06375010,6035
BANK NEW YORK INC,06405710,06405810,6022
BANK OF AMERICA CORP,06050510,06050510,6712
BANK OF AMERICA CORP,06050510,06050510,6021
BANK OF AMERICA CORP,06050510,06050510,6211
BANK OF COMMERCE HOLDINGS,06424J10,06424J10,6022
BANK OF HAWAII CORP,06254010,06254010,6022
BANK OF MARIN,06343110,06342510,6020
BANK OF MARIN BANCORP,06342510,06342510,6022
BANK OF NEW YORK MELLON CORP,06405810,06405810,6022
BANK OF THE OZARKS INC,06390410,06390410,6020
BANK SIERRA PORTERVILLE CA,06486010,82620P10,6020
BANKUNITED INC,06652K10,06652K10,6035
BANKUNITED INC,06652K10,06652K10,6021
BANKWELL FINANCIAL GROUP INC,06654A10,06654A10,6022
BAR HARBOR BANKSHARES,06684910,06684910,6022
BAR HARBOR BANKSHARES,06684910,06684910,6712
BBCN BANCORP INC,07329510,43940T10,6021
B B & T CORP,05493710,05493710,6021
B B & T CORP,05493710,05493710,6712
B B & T CORP,05493710,05493710,6035
B B & T CORP,05493710,05493710,6029
B B X CAPITAL CORP NEW,05491N10,05491N10,6035
B C B BANCORP INC,05529810,05529810,6035
BEAR STATE FINANCIAL INC,07384410,07384410,6035
BENEFICIAL BANCORP INC,08171T10,08171T10,6035
BENEFICIAL MUTUAL BANCORP INC,08173R10,08171T10,6035
BERKSHIRE HILLS BANCORP INC,08468010,08468010,6036
B N C BANCORP,05566T10,05566T10,6022
